formula,anon,label
"K: 1, Ba: 1, B: 5, O: 9","elem_2984: 1, elem_3226: 1, elem_8033: 5, elem_9902: 9",0
"K: 1, Ba: 1, Sb: 1, Se: 3","elem_2984: 1, elem_3226: 1, elem_3476: 1, elem_7611: 3",0
"K: 1, Bi: 2","elem_2984: 1, elem_9183: 2",1
"K: 1, Bi: 3, S: 5","elem_2984: 1, elem_9183: 3, elem_9062: 5",0
"K: 1, Bi: 1, O: 3","elem_2984: 1, elem_9183: 1, elem_9902: 3",1
"K: 1, Bi: 1, S: 2","elem_2984: 1, elem_9183: 1, elem_9062: 2",0
"K: 1, Bi: 1, Se: 2","elem_2984: 1, elem_9183: 1, elem_7611: 2",0
"K: 1, Br: 1","elem_2984: 1, elem_1698: 1",0
"K: 1, C: 60","elem_2984: 1, elem_2375: 60",1
"K: 1, Cd: 4, Ga: 5, Se: 12","elem_2984: 1, elem_1400: 4, elem_6849: 5, elem_7611: 12",0
"K: 1, Ce: 1, Se: 4","elem_2984: 1, elem_9646: 1, elem_7611: 4",0
"K: 1, Cl: 1","elem_2984: 1, elem_7530: 1",0
"K: 1, Co: 1, O: 2","elem_2984: 1, elem_9394: 1, elem_9902: 2",1
"K: 1, Cu: 2, Bi: 1, S: 3","elem_2984: 1, elem_1377: 2, elem_9183: 1, elem_9062: 3",0
"K: 1, Cu: 2, Sb: 1, S: 3","elem_2984: 1, elem_1377: 2, elem_3476: 1, elem_9062: 3",0
"K: 1, Cu: 3, S: 2","elem_2984: 1, elem_1377: 3, elem_9062: 2",0
"K: 1, Cu: 4, As: 1, S: 4","elem_2984: 1, elem_1377: 4, elem_2057: 1, elem_9062: 4",0
"K: 1, Cu: 1, P: 1, O: 4","elem_2984: 1, elem_1377: 1, elem_4874: 1, elem_9902: 4",1
"K: 1, Cu: 1, Sn: 1, S: 3","elem_2984: 1, elem_1377: 1, elem_8076: 1, elem_9062: 3",0
"K: 1, Cu: 1, Sn: 1, Se: 3","elem_2984: 1, elem_1377: 1, elem_8076: 1, elem_7611: 3",0
"K: 1, Eu: 1, As: 1, S: 4","elem_2984: 1, elem_2806: 1, elem_2057: 1, elem_9062: 4",0
"K: 1, Eu: 1, S: 2","elem_2984: 1, elem_2806: 1, elem_9062: 2",1
"K: 1, F: 1","elem_2984: 1, elem_6130: 1",0
"K: 1, Fe: 2, Bi: 1, O: 5","elem_2984: 1, elem_7694: 2, elem_9183: 1, elem_9902: 5",0
"K: 1, Fe: 1, Cu: 1, Te: 2","elem_2984: 1, elem_7694: 1, elem_1377: 1, elem_4345: 2",0
"K: 1, Ga: 1, Se: 2","elem_2984: 1, elem_6849: 1, elem_7611: 2",0
"K: 1, Ga: 1, Sn: 1, Se: 4","elem_2984: 1, elem_6849: 1, elem_8076: 1, elem_7611: 4",0
"K: 1, H: 1, C: 3, N: 6","elem_2984: 1, elem_9158: 1, elem_2375: 3, elem_4922: 6",1
"K: 1, H: 3, Se: 2, O: 6","elem_2984: 1, elem_9158: 3, elem_7611: 2, elem_9902: 6",0
"K: 1, Hg: 1","elem_2984: 1, elem_7286: 1",1
"K: 1, Hg: 11","elem_2984: 1, elem_7286: 11",1
"K: 1, Hg: 2","elem_2984: 1, elem_7286: 2",1
"K: 1, I: 1","elem_2984: 1, elem_7655: 1",0
"K: 1, I: 1, O: 3","elem_2984: 1, elem_7655: 1, elem_9902: 3",0
"K: 1, In: 1, Te: 2, O: 6","elem_2984: 1, elem_2476: 1, elem_4345: 2, elem_9902: 6",0
"K: 1, In: 1, Ge: 1, S: 4","elem_2984: 1, elem_2476: 1, elem_6419: 1, elem_9062: 4",0
"K: 1, In: 1, S: 2","elem_2984: 1, elem_2476: 1, elem_9062: 2",0
"K: 1, In: 1, Se: 2","elem_2984: 1, elem_2476: 1, elem_7611: 2",0
"K: 1, In: 1, Sn: 1, S: 4","elem_2984: 1, elem_2476: 1, elem_8076: 1, elem_9062: 4",0
"K: 1, Li: 1, W: 3, O: 9","elem_2984: 1, elem_7346: 1, elem_7486: 3, elem_9902: 9",1
"K: 1, Li: 1, C: 1, O: 3","elem_2984: 1, elem_7346: 1, elem_2375: 1, elem_9902: 3",0
"K: 1, Lu: 1","elem_2984: 1, elem_2196: 1",1
"K: 1, Mo: 6, S: 7","elem_2984: 1, elem_3373: 6, elem_9062: 7",1
"K: 1, Na: 2, Sb: 1","elem_2984: 1, elem_8711: 2, elem_3476: 1",0
"K: 1, Nb: 2, O: 5","elem_2984: 1, elem_9559: 2, elem_9902: 5",1
"K: 1, Nb: 2, Se: 1","elem_2984: 1, elem_9559: 2, elem_7611: 1",1
"K: 1, Nb: 3, Se: 2, O: 12","elem_2984: 1, elem_9559: 3, elem_7611: 2, elem_9902: 12",0
"K: 1, Nb: 3, Te: 2, O: 12","elem_2984: 1, elem_9559: 3, elem_4345: 2, elem_9902: 12",0
"K: 1, Nb: 1, Se: 2, O: 7","elem_2984: 1, elem_9559: 1, elem_7611: 2, elem_9902: 7",0
"K: 1, P: 1, H: 2, O: 4","elem_2984: 1, elem_4874: 1, elem_9158: 2, elem_9902: 4",0
"K: 1, P: 1, Au: 5, S: 8","elem_2984: 1, elem_4874: 1, elem_4442: 5, elem_9062: 8",0
"K: 1, P: 1, Pb: 1, O: 4","elem_2984: 1, elem_4874: 1, elem_5427: 1, elem_9902: 4",0
"K: 1, P: 1, Se: 3","elem_2984: 1, elem_4874: 1, elem_7611: 3",0
"K: 1, P: 1, Se: 6","elem_2984: 1, elem_4874: 1, elem_7611: 6",0
"K: 1, Rb: 1, Bi: 8, Se: 13","elem_2984: 1, elem_1402: 1, elem_9183: 8, elem_7611: 13",0
"K: 1, Ru: 1, O: 4","elem_2984: 1, elem_9197: 1, elem_9902: 4",1
"K: 1, Sb: 1","elem_2984: 1, elem_3476: 1",0
"K: 1, Sb: 1, S: 2, O: 8","elem_2984: 1, elem_3476: 1, elem_9062: 2, elem_9902: 8",0
"K: 1, Sb: 5, S: 8","elem_2984: 1, elem_3476: 5, elem_9062: 8",0
"K: 1, Sb: 1, S: 2","elem_2984: 1, elem_3476: 1, elem_9062: 2",0
"K: 1, Sb: 1, Se: 2","elem_2984: 1, elem_3476: 1, elem_7611: 2",0
"K: 1, Sc: 1, Se: 2, O: 6","elem_2984: 1, elem_1684: 1, elem_7611: 2, elem_9902: 6",0
"K: 1, Sc: 1, O: 3","elem_2984: 1, elem_1684: 1, elem_9902: 3",1
"K: 1, Si: 2, P: 3","elem_2984: 1, elem_1995: 2, elem_4874: 3",0
"K: 1, Si: 1, Bi: 1, S: 4","elem_2984: 1, elem_1995: 1, elem_9183: 1, elem_9062: 4",0
"K: 1, Sm: 2, Cu: 1, S: 4","elem_2984: 1, elem_8818: 2, elem_1377: 1, elem_9062: 4",0
"K: 1, Sn: 1, Au: 1, S: 3","elem_2984: 1, elem_8076: 1, elem_4442: 1, elem_9062: 3",0
"K: 1, Sn: 1, Au: 1, Se: 3","elem_2984: 1, elem_8076: 1, elem_4442: 1, elem_7611: 3",0
"K: 1, Ta: 3, Te: 2, O: 12","elem_2984: 1, elem_7584: 3, elem_4345: 2, elem_9902: 12",0
"K: 1, Ta: 3, Cu: 1, O: 9","elem_2984: 1, elem_7584: 3, elem_1377: 1, elem_9902: 9",1
"K: 1, Ta: 1, O: 3","elem_2984: 1, elem_7584: 1, elem_9902: 3",0
"K: 1, Tb: 1, Se: 4","elem_2984: 1, elem_9043: 1, elem_7611: 4",0
"K: 1, Te: 1, P: 2","elem_2984: 1, elem_4345: 1, elem_4874: 2",0
"K: 1, Th: 1, Cu: 1, S: 3","elem_2984: 1, elem_3982: 1, elem_1377: 1, elem_9062: 3",0
"K: 1, Ti: 2, F: 7","elem_2984: 1, elem_7235: 2, elem_6130: 7",0
"K: 1, Ti: 5, Se: 8","elem_2984: 1, elem_7235: 5, elem_7611: 8",1
"K: 1, Ti: 1, P: 1, O: 5","elem_2984: 1, elem_7235: 1, elem_4874: 1, elem_9902: 5",0
"K: 1, Tm: 1","elem_2984: 1, elem_6361: 1",1
"K: 1, U: 1, Cl: 1, O: 3","elem_2984: 1, elem_8131: 1, elem_7530: 1, elem_9902: 3",0
"K: 1, U: 1, Cu: 1, Se: 3","elem_2984: 1, elem_8131: 1, elem_1377: 1, elem_7611: 3",1
"K: 1, V: 2, I: 3, O: 13","elem_2984: 1, elem_4182: 2, elem_7655: 3, elem_9902: 13",0
"K: 1, V: 4, Ag: 11, O: 16","elem_2984: 1, elem_4182: 4, elem_3063: 11, elem_9902: 16",0
"K: 1, V: 6, O: 11","elem_2984: 1, elem_4182: 6, elem_9902: 11",1
"K: 1, Y: 1, Te: 2, O: 6","elem_2984: 1, elem_3272: 1, elem_4345: 2, elem_9902: 6",0
"K: 1, Yb: 2, F: 7","elem_2984: 1, elem_4678: 2, elem_6130: 7",1
"K: 1, Yb: 1, Se: 2","elem_2984: 1, elem_4678: 1, elem_7611: 2",1
"K: 1, Zn: 4, B: 3, O: 9","elem_2984: 1, elem_7038: 4, elem_8033: 3, elem_9902: 9",0
"K: 1, Zr: 1, P: 1, Se: 6","elem_2984: 1, elem_5500: 1, elem_4874: 1, elem_7611: 6",0
"La: 1, Fe: 4, As: 12","elem_3721: 1, elem_7694: 4, elem_2057: 12",1
"La: 1, In: 4, Au: 2","elem_3721: 1, elem_2476: 4, elem_4442: 2",1
"La: 1, In: 3, S: 6","elem_3721: 1, elem_2476: 3, elem_9062: 6",0
"La: 1, Ni: 12, B: 6","elem_3721: 1, elem_7611: 12, elem_8033: 6",1
"La: 1, P: 2, Ru: 2","elem_3721: 1, elem_4874: 2, elem_9197: 2",1
"La: 1, Si: 2, Os: 2","elem_3721: 1, elem_1995: 2, elem_4043: 2",1
"La: 1, Si: 2, Ru: 2","elem_3721: 1, elem_1995: 2, elem_9197: 2",1
"La: 1.86, Tb: 1.14, Ga: 1.67, S: 7","elem_3721: 1.86, elem_9043: 1.14, elem_6849: 1.67, elem_9062: 7",0
"La: 10, Mn: 9, O: 30","elem_3721: 10, elem_1223: 9, elem_9902: 30",1
"La: 10, Se: 14, O: 1","elem_3721: 10, elem_7611: 14, elem_9902: 1",0
"La: 10, Si: 8, O: 3","elem_3721: 10, elem_1995: 8, elem_9902: 3",1
"La: 16, Mn: 15, O: 48","elem_3721: 16, elem_1223: 15, elem_9902: 48",1
"La: 1, Se: 0.14, S: 1.86","elem_3721: 1, elem_7611: 0.14, elem_9062: 1.86",0
"La: 2.1, Bi: 5.9, Pb: 2, S: 14","elem_3721: 2.1, elem_9183: 5.9, elem_5427: 2, elem_9062: 14",0
"La: 20, Cu: 9, O: 40","elem_3721: 20, elem_1377: 9, elem_9902: 40",1
"La: 20, Mo: 12, Cl: 4, O: 63","elem_3721: 20, elem_3373: 12, elem_7530: 4, elem_9902: 63",0
"La: 2, B: 4, Rh: 5","elem_3721: 2, elem_8033: 4, elem_6928: 5",1
"La: 2, Cu: 1, O: 4","elem_3721: 2, elem_1377: 1, elem_9902: 4",1
"La: 2, Fe: 1, Se: 2, O: 2","elem_3721: 2, elem_7694: 1, elem_7611: 2, elem_9902: 2",0
"La: 2, Fe: 2, I: 1","elem_3721: 2, elem_7694: 2, elem_7655: 1",1
"La: 2, Ga: 0.33, Sb: 1, S: 5","elem_3721: 2, elem_6849: 0.33, elem_3476: 1, elem_9062: 5",0
"La: 2, Ga: 2, Ge: 1, S: 8","elem_3721: 2, elem_6849: 2, elem_6419: 1, elem_9062: 8",0
"La: 2, Ge: 2, Se: 7","elem_3721: 2, elem_6419: 2, elem_7611: 7",0
"La: 2, Ge: 5, Ir: 3","elem_3721: 2, elem_6419: 5, elem_7311: 3",1
"La: 2, Ge: 5, Rh: 3","elem_3721: 2, elem_6419: 5, elem_6928: 3",1
"La: 2, Ge: 1, Se: 5","elem_3721: 2, elem_6419: 1, elem_7611: 5",0
"La: 2, Hf: 1, S: 5","elem_3721: 2, elem_7483: 1, elem_9062: 5",0
"La: 2, In: 1","elem_3721: 2, elem_2476: 1",1
"La: 2, Mn: 1, Se: 2, O: 2","elem_3721: 2, elem_1223: 1, elem_7611: 2, elem_9902: 2",0
"La: 2, Mn: 1, Ni: 1, O: 6","elem_3721: 2, elem_1223: 1, elem_7611: 1, elem_9902: 6",0
"La: 2, Mo: 1, O: 5","elem_3721: 2, elem_3373: 1, elem_9902: 5",0
"La: 2, Nb: 2, N: 2, O: 5","elem_3721: 2, elem_9559: 2, elem_4922: 2, elem_9902: 5",1
"La: 2, Ni: 5, B: 4","elem_3721: 2, elem_7611: 5, elem_8033: 4",1
"La: 2, O: 3","elem_3721: 2, elem_9902: 3",0
"La: 2, P: 1, C: 1","elem_3721: 2, elem_4874: 1, elem_2375: 1",1
"La: 2, P: 1, I: 2","elem_3721: 2, elem_4874: 1, elem_7655: 2",1
"La: 2, Pd: 1, O: 4","elem_3721: 2, elem_8322: 1, elem_9902: 4",1
"La: 2, Pr: 2, O: 7","elem_3721: 2, elem_1103: 2, elem_9902: 7",1
"La: 2, Rh: 7","elem_3721: 2, elem_6928: 7",1
"La: 2, S: 3","elem_3721: 2, elem_9062: 3",0
"La: 2, Se: 3","elem_3721: 2, elem_7611: 3",0
"La: 2, Si: 5, Rh: 3","elem_3721: 2, elem_1995: 5, elem_6928: 3",1
"La: 2, Sn: 5, Rh: 3","elem_3721: 2, elem_8076: 5, elem_6928: 3",1
"La: 2, Ti: 1, Co: 1, O: 6","elem_3721: 2, elem_7235: 1, elem_9394: 1, elem_9902: 6",0
"La: 2, V: 2, I: 1, O: 9","elem_3721: 2, elem_4182: 2, elem_7655: 1, elem_9902: 9",0
"La: 2, V: 1, Co: 1, O: 6","elem_3721: 2, elem_4182: 1, elem_9394: 1, elem_9902: 6",0
"La: 2, V: 1, Ni: 1, O: 6","elem_3721: 2, elem_4182: 1, elem_7611: 1, elem_9902: 6",0
"La: 2, Yb: 1, Cu: 1, S: 5","elem_3721: 2, elem_4678: 1, elem_1377: 1, elem_9062: 5",0
"La: 2, Yb: 1, Cu: 1, Se: 5","elem_3721: 2, elem_4678: 1, elem_1377: 1, elem_7611: 5",0
"La: 2, Zn: 1, Se: 2, O: 2","elem_3721: 2, elem_7038: 1, elem_7611: 2, elem_9902: 2",0
"La: 2, Zr: 1, S: 5","elem_3721: 2, elem_5500: 1, elem_9062: 5",0
"La: 3, B: 2, N: 4","elem_3721: 3, elem_8033: 2, elem_4922: 4",1
"La: 3, Os: 2, O: 10","elem_3721: 3, elem_4043: 2, elem_9902: 10",1
"La: 3, Re: 2, O: 10","elem_3721: 3, elem_3031: 2, elem_9902: 10",1
"La: 3, Al: 1, N: 1","elem_3721: 3, elem_3486: 1, elem_4922: 1",1
"La: 3, Cu: 1, Ge: 1, Se: 7","elem_3721: 3, elem_1377: 1, elem_6419: 1, elem_7611: 7",0
"La: 3, Ga: 1, Ge: 0.5, S: 7","elem_3721: 3, elem_6849: 1, elem_6419: 0.5, elem_9062: 7",0
"La: 3, Ga: 1, Cu: 1, Se: 7","elem_3721: 3, elem_6849: 1, elem_1377: 1, elem_7611: 7",0
"La: 3, Ge: 3, Br: 2","elem_3721: 3, elem_6419: 3, elem_1698: 2",1
"La: 3, In: 1, Ge: 0.5, S: 7","elem_3721: 3, elem_2476: 1, elem_6419: 0.5, elem_9062: 7",0
"La: 3, Lu: 1, Se: 6","elem_3721: 3, elem_2196: 1, elem_7611: 6",0
"La: 3, Mg: 0.5, Sn: 1, S: 14","elem_3721: 3, elem_7398: 0.5, elem_8076: 1, elem_9062: 14",0
"La: 3, Mo: 4, O: 16, F: 1","elem_3721: 3, elem_3373: 4, elem_9902: 16, elem_6130: 1",0
"La: 3, Ni: 1, Br: 3","elem_3721: 3, elem_7611: 1, elem_1698: 3",1
"La: 3, Si: 1, Sb: 0.33, S: 7","elem_3721: 3, elem_1995: 1, elem_3476: 0.33, elem_9062: 7",0
"La: 3, Si: 1, Sb: 0.33, Se: 7","elem_3721: 3, elem_1995: 1, elem_3476: 0.33, elem_7611: 7",0
"La: 3, Te: 4","elem_3721: 3, elem_4345: 4",0
"La: 3, Zr: 1, Sb: 5","elem_3721: 3, elem_5500: 1, elem_3476: 5",1
"La: 4, Cd: 4, In: 2, S: 13","elem_3721: 4, elem_1400: 4, elem_2476: 2, elem_9062: 13",0
"La: 4, Co: 3, O: 10","elem_3721: 4, elem_9394: 3, elem_9902: 10",1
"La: 4, Fe: 1, Sb: 2, S: 10","elem_3721: 4, elem_7694: 1, elem_3476: 2, elem_9062: 10",0
"La: 4, Fe: 1, Sb: 2, Se: 10","elem_3721: 4, elem_7694: 1, elem_3476: 2, elem_7611: 10",0
"La: 4, In: 5, S: 13","elem_3721: 4, elem_2476: 5, elem_9062: 13",1
"La: 4, In: 1, Sb: 1, S: 9","elem_3721: 4, elem_2476: 1, elem_3476: 1, elem_9062: 9",0
"La: 4, In: 1, Sb: 1, Se: 9","elem_3721: 4, elem_2476: 1, elem_3476: 1, elem_7611: 9",0
"La: 5, Cu: 6.33, S: 7, O: 4","elem_3721: 5, elem_1377: 6.33, elem_9062: 7, elem_9902: 4",0
"La: 5, In: 3, S: 9, O: 3","elem_3721: 5, elem_2476: 3, elem_9062: 9, elem_9902: 3",0
"La: 5, Sm: 1, S: 8","elem_3721: 5, elem_8818: 1, elem_9062: 8",1
"La: 5, Yb: 1, S: 8","elem_3721: 5, elem_4678: 1, elem_9062: 8",1
"La: 6, Sb: 4, S: 3, O: 12","elem_3721: 6, elem_3476: 4, elem_9062: 3, elem_9902: 12",0
"La: 8, Mn: 7, O: 24","elem_3721: 8, elem_1223: 7, elem_9902: 24",1
"La: 8, Sb: 2, S: 15","elem_3721: 8, elem_3476: 2, elem_9062: 15",0
"La: 1, Al: 12, O: 19","elem_3721: 1, elem_3486: 12, elem_9902: 19",1
"La: 1, Al: 4","elem_3721: 1, elem_3486: 4",1
"La: 1, Al: 4, Co: 1","elem_3721: 1, elem_3486: 4, elem_9394: 1",1
"La: 1, B: 6","elem_3721: 1, elem_8033: 6",0
"La: 1, B: 1, Pt: 3","elem_3721: 1, elem_8033: 1, elem_4859: 3",1
"La: 1, Be: 1, B: 3, O: 7","elem_3721: 1, elem_8846: 1, elem_8033: 3, elem_9902: 7",0
"La: 1, Bi: 1, Au: 2","elem_3721: 1, elem_9183: 1, elem_4442: 2",1
"La: 1, Cd: 2","elem_3721: 1, elem_1400: 2",1
"La: 1, Cd: 1, Ag: 2","elem_3721: 1, elem_1400: 1, elem_3063: 2",1
"La: 1, Cd: 1, Au: 1","elem_3721: 1, elem_1400: 1, elem_4442: 1",1
"La: 1, Cu: 6","elem_3721: 1, elem_1377: 6",1
"La: 1, Cu: 1, S: 1, O: 1","elem_3721: 1, elem_1377: 1, elem_9062: 1, elem_9902: 1",0
"La: 1, Cu: 1, Se: 1, O: 1","elem_3721: 1, elem_1377: 1, elem_7611: 1, elem_9902: 1",0
"La: 1, Cu: 1, Te: 1, O: 1","elem_3721: 1, elem_1377: 1, elem_4345: 1, elem_9902: 1",0
"La: 1, F: 3","elem_3721: 1, elem_6130: 3",0
"La: 1, Ga: 1","elem_3721: 1, elem_6849: 1",1
"La: 1, Ga: 3, Pd: 2","elem_3721: 1, elem_6849: 3, elem_8322: 2",1
"La: 1, Ga: 1, O: 3","elem_3721: 1, elem_6849: 1, elem_9902: 3",0
"La: 1, Ga: 1, S: 3","elem_3721: 1, elem_6849: 1, elem_9062: 3",0
"La: 1, Ge: 1, I: 1","elem_3721: 1, elem_6419: 1, elem_7655: 1",1
"La: 1, H: 2","elem_3721: 1, elem_9158: 2",1
"La: 1, H: 2, N: 1, O: 5","elem_3721: 1, elem_9158: 2, elem_4922: 1, elem_9902: 5",0
"La: 1, Hg: 1","elem_3721: 1, elem_7286: 1",1
"La: 1, In: 1","elem_3721: 1, elem_2476: 1",1
"La: 1, In: 2, Ir: 1","elem_3721: 1, elem_2476: 2, elem_7311: 1",1
"La: 1, In: 5, Ir: 1","elem_3721: 1, elem_2476: 5, elem_7311: 1",1
"La: 1, In: 1, S: 2, O: 1","elem_3721: 1, elem_2476: 1, elem_9062: 2, elem_9902: 1",0
"La: 1, Mg: 1, Fe: 2, O: 6","elem_3721: 1, elem_7398: 1, elem_7694: 2, elem_9902: 6",1
"La: 1, Mg: 2, H: 7, Pd: 1","elem_3721: 1, elem_7398: 2, elem_9158: 7, elem_8322: 1",0
"La: 1, Mg: 3","elem_3721: 1, elem_7398: 3",1
"La: 1, Nb: 1, N: 2, O: 1","elem_3721: 1, elem_9559: 1, elem_4922: 2, elem_9902: 1",0
"La: 1, P: 1","elem_3721: 1, elem_4874: 1",0
"La: 1, P: 3","elem_3721: 1, elem_4874: 3",1
"La: 1, Pd: 3, S: 4","elem_3721: 1, elem_8322: 3, elem_9062: 4",1
"La: 1, Pt: 5","elem_3721: 1, elem_4859: 5",1
"La: 1, Re: 2, Ag: 1","elem_3721: 1, elem_3031: 2, elem_3063: 1",1
"La: 1, Re: 1, B: 1","elem_3721: 1, elem_3031: 1, elem_8033: 1",1
"La: 1, Sb: 1","elem_3721: 1, elem_3476: 1",0
"La: 1, Sc: 1, Si: 1","elem_3721: 1, elem_1684: 1, elem_1995: 1",1
"La: 1, Si: 1","elem_3721: 1, elem_1995: 1",1
"La: 1, Si: 2","elem_3721: 1, elem_1995: 2",0
"La: 1, Si: 2, Ru: 1","elem_3721: 1, elem_1995: 2, elem_9197: 1",1
"La: 1, Sn: 3, Ru: 1","elem_3721: 1, elem_8076: 3, elem_9197: 1",1
"La: 1, Ta: 1, N: 2, O: 1","elem_3721: 1, elem_7584: 1, elem_4922: 2, elem_9902: 1",0
"La: 1, Tb: 3","elem_3721: 1, elem_9043: 3",1
"La: 1, V: 1","elem_3721: 1, elem_4182: 1",1
"La: 1, V: 1, I: 5, O: 16","elem_3721: 1, elem_4182: 1, elem_7655: 5, elem_9902: 16",0
"La: 1, Yb: 1, Zn: 2","elem_3721: 1, elem_4678: 1, elem_7038: 2",1
"La: 1, Zn: 1, As: 1, O: 1","elem_3721: 1, elem_7038: 1, elem_2057: 1, elem_9902: 1",0
"La: 1, Zn: 1, Au: 2","elem_3721: 1, elem_7038: 1, elem_4442: 2",1
"Li: 1, Cu: 3, O: 3","elem_7346: 1, elem_1377: 3, elem_9902: 3",1
"Li: 1, Ni: 4, O: 8","elem_7346: 1, elem_7611: 4, elem_9902: 8",1
"Li: 0.33, Ag: 1, Sn: 0.67, O: 2","elem_7346: 0.33, elem_3063: 1, elem_8076: 0.67, elem_9902: 2",0
"Li: 0.33, Ti: 0.67, Ag: 1, O: 2","elem_7346: 0.33, elem_7235: 0.67, elem_3063: 1, elem_9902: 2",0
"Li: 0.5, Ge: 1, Pb: 1.75, S: 4","elem_7346: 0.5, elem_6419: 1, elem_5427: 1.75, elem_9062: 4",0
"Li: 11, Mn: 13, O: 32","elem_7346: 11, elem_1223: 13, elem_9902: 32",1
"Li: 12, Fe: 5, O: 16","elem_7346: 12, elem_7694: 5, elem_9902: 16",1
"Li: 13, Nb: 14, Zn: 1, O: 42","elem_7346: 13, elem_9559: 14, elem_7038: 1, elem_9902: 42",1
"Li: 13, Ti: 22, O: 48","elem_7346: 13, elem_7235: 22, elem_9902: 48",1
"Li: 14, Ti: 21, O: 48","elem_7346: 14, elem_7235: 21, elem_9902: 48",1
"Li: 15, Fe: 4, O: 16","elem_7346: 15, elem_7694: 4, elem_9902: 16",1
"Li: 15, Mn: 2, O: 12","elem_7346: 15, elem_1223: 2, elem_9902: 12",1
"Li: 17, Nb: 20, O: 60","elem_7346: 17, elem_9559: 20, elem_9902: 60",1
"Li: 17, Ti: 20, O: 40","elem_7346: 17, elem_7235: 20, elem_9902: 40",1
"Li: 2, Fe: 5, O: 10","elem_7346: 2, elem_7694: 5, elem_9902: 10",1
"Li: 2, Lu: 3, Ge: 3","elem_7346: 2, elem_2196: 3, elem_6419: 3",1
"Li: 2, Ni: 3, O: 6","elem_7346: 2, elem_7611: 3, elem_9902: 6",1
"Li: 23, Mn: 20, As: 20","elem_7346: 23, elem_1223: 20, elem_2057: 20",1
"Li: 2, B: 4, O: 7","elem_7346: 2, elem_8033: 4, elem_9902: 7",0
"Li: 2, Cd: 1, Ge: 1","elem_7346: 2, elem_1400: 1, elem_6419: 1",0
"Li: 2, Cd: 1, Ge: 1, S: 4","elem_7346: 2, elem_1400: 1, elem_6419: 1, elem_9062: 4",0
"Li: 2, Cd: 1, Sn: 1, S: 4","elem_7346: 2, elem_1400: 1, elem_8076: 1, elem_9062: 4",0
"Li: 2, Co: 4, O: 7, F: 1","elem_7346: 2, elem_9394: 4, elem_9902: 7, elem_6130: 1",1
"Li: 2, Cr: 1, Co: 3, O: 8","elem_7346: 2, elem_2802: 1, elem_9394: 3, elem_9902: 8",1
"Li: 2, Cr: 1, Cu: 1, O: 4","elem_7346: 2, elem_2802: 1, elem_1377: 1, elem_9902: 4",1
"Li: 2, Cu: 2, S: 3","elem_7346: 2, elem_1377: 2, elem_9062: 3",1
"Li: 2, Cu: 1, F: 6","elem_7346: 2, elem_1377: 1, elem_6130: 6",1
"Li: 2, Dy: 1, In: 1","elem_7346: 2, elem_5122: 1, elem_2476: 1",1
"Li: 2, Eu: 1, Sn: 1","elem_7346: 2, elem_2806: 1, elem_8076: 1",1
"Li: 2, Fe: 2, P: 3, O: 12","elem_7346: 2, elem_7694: 2, elem_4874: 3, elem_9902: 12",1
"Li: 2, Fe: 3, Co: 1, O: 8","elem_7346: 2, elem_7694: 3, elem_9394: 1, elem_9902: 8",1
"Li: 2, Fe: 3, Ni: 1, O: 8","elem_7346: 2, elem_7694: 3, elem_7611: 1, elem_9902: 8",1
"Li: 2, Fe: 3, Sn: 1, O: 8","elem_7346: 2, elem_7694: 3, elem_8076: 1, elem_9902: 8",1
"Li: 2, Fe: 1, Ge: 1, S: 4","elem_7346: 2, elem_7694: 1, elem_6419: 1, elem_9062: 4",0
"Li: 2, Fe: 1, Sn: 1, S: 4","elem_7346: 2, elem_7694: 1, elem_8076: 1, elem_9062: 4",0
"Li: 2, Fe: 1, W: 1, O: 6","elem_7346: 2, elem_7694: 1, elem_7486: 1, elem_9902: 6",1
"Li: 2, Ga: 1","elem_7346: 2, elem_6849: 1",1
"Li: 2, Ga: 1, Ge: 2, Se: 6","elem_7346: 2, elem_6849: 1, elem_6419: 2, elem_7611: 6",0
"Li: 2, Ga: 2, Ge: 1, S: 6","elem_7346: 2, elem_6849: 2, elem_6419: 1, elem_9062: 6",0
"Li: 2, Ga: 1, Pd: 1","elem_7346: 2, elem_6849: 1, elem_8322: 1",1
"Li: 2, Hg: 1, Ge: 1","elem_7346: 2, elem_7286: 1, elem_6419: 1",0
"Li: 2, Hg: 1, Ge: 1, S: 4","elem_7346: 2, elem_7286: 1, elem_6419: 1, elem_9062: 4",0
"Li: 2, In: 2, Ge: 1, S: 6","elem_7346: 2, elem_2476: 2, elem_6419: 1, elem_9062: 6",0
"Li: 2, In: 2, Ge: 1, Se: 6","elem_7346: 2, elem_2476: 2, elem_6419: 1, elem_7611: 6",0
"Li: 2, In: 2, Si: 1, S: 6","elem_7346: 2, elem_2476: 2, elem_1995: 1, elem_9062: 6",0
"Li: 2, In: 2, Si: 1, Se: 6","elem_7346: 2, elem_2476: 2, elem_1995: 1, elem_7611: 6",0
"Li: 2, In: 1, Ag: 1","elem_7346: 2, elem_2476: 1, elem_3063: 1",1
"Li: 2, La: 1, Tl: 1","elem_7346: 2, elem_3721: 1, elem_2582: 1",1
"Li: 2, Mg: 1, Hg: 1","elem_7346: 2, elem_7398: 1, elem_7286: 1",1
"Li: 2, Mg: 1, In: 1","elem_7346: 2, elem_7398: 1, elem_2476: 1",1
"Li: 2, Mg: 1, Sn: 1","elem_7346: 2, elem_7398: 1, elem_8076: 1",1
