text_name,text_anon,label
Protein A: TAF6 ; Protein B: TUBA8,Protein A: PROT_0333 ; Protein B: PROT_2419,0
Protein A: HLA-G ; Protein B: LILRB1,Protein A: PROT_3113 ; Protein B: PROT_2704,1
Protein A: TRIM25 ; Protein B: UBE2L6,Protein A: PROT_2803 ; Protein B: PROT_3066,1
Protein A: KCNJ4 ; Protein B: TAF2,Protein A: PROT_2925 ; Protein B: PROT_2765,0
Protein A: ADSL ; Protein B: ATIC,Protein A: PROT_3169 ; Protein B: PROT_1894,1
Protein A: POLR2B ; Protein B: INTS5,Protein A: PROT_1419 ; Protein B: PROT_0783,1
Protein A: RAD51C ; Protein B: CECR2,Protein A: PROT_0085 ; Protein B: PROT_1465,0
Protein A: F11 ; Protein B: F8,Protein A: PROT_3095 ; Protein B: PROT_0488,1
Protein A: SMC3 ; Protein B: COX4I1,Protein A: PROT_0140 ; Protein B: PROT_2723,0
Protein A: TMIE ; Protein B: STX4,Protein A: PROT_0944 ; Protein B: PROT_1149,0
Protein A: RPS12 ; Protein B: ARHGEF9,Protein A: PROT_2877 ; Protein B: PROT_3136,0
Protein A: CUL4B ; Protein B: DCAF17,Protein A: PROT_2702 ; Protein B: PROT_1831,1
Protein A: BBS9 ; Protein B: RAB3IP,Protein A: PROT_1121 ; Protein B: PROT_1475,1
Protein A: NLRP3 ; Protein B: CMKLR1,Protein A: PROT_0790 ; Protein B: PROT_3057,0
Protein A: ESR1 ; Protein B: CEBPB,Protein A: PROT_0536 ; Protein B: PROT_0089,1
Protein A: RPS20 ; Protein B: RPS21,Protein A: PROT_3101 ; Protein B: PROT_2938,1
Protein A: PTGS2 ; Protein B: FCGR2A,Protein A: PROT_1016 ; Protein B: PROT_1518,0
Protein A: POLR2B ; Protein B: RBX1,Protein A: PROT_1419 ; Protein B: PROT_0095,1
Protein A: NCAM1 ; Protein B: ST8SIA4,Protein A: PROT_0199 ; Protein B: PROT_2545,1
Protein A: PUF60 ; Protein B: RPS15A,Protein A: PROT_1024 ; Protein B: PROT_0034,0
Protein A: RPL7A ; Protein B: EEF1A1,Protein A: PROT_0383 ; Protein B: PROT_0583,1
Protein A: METTL17 ; Protein B: MRPS27,Protein A: PROT_2438 ; Protein B: PROT_0999,1
Protein A: MRPL36 ; Protein B: HDDC3,Protein A: PROT_0531 ; Protein B: PROT_0128,1
Protein A: TRAF2 ; Protein B: PIK3R5,Protein A: PROT_2652 ; Protein B: PROT_2414,0
Protein A: RPS21 ; Protein B: EEF2,Protein A: PROT_2938 ; Protein B: PROT_1651,1
Protein A: CTTNBP2NL ; Protein B: MOB4,Protein A: PROT_2500 ; Protein B: PROT_1506,1
Protein A: CSTF3 ; Protein B: TPI1,Protein A: PROT_3430 ; Protein B: PROT_2851,1
Protein A: RPS6KA2 ; Protein B: PKMYT1,Protein A: PROT_3299 ; Protein B: PROT_3377,1
Protein A: NAGS ; Protein B: DYNC1H1,Protein A: PROT_1073 ; Protein B: PROT_1807,0
Protein A: CALML6 ; Protein B: HSP90AA1,Protein A: PROT_1604 ; Protein B: PROT_1233,1
Protein A: H2BC8 ; Protein B: H2BC7,Protein A: PROT_3197 ; Protein B: PROT_0038,1
Protein A: NDUFV2 ; Protein B: NDUFS7,Protein A: PROT_3033 ; Protein B: PROT_1979,1
Protein A: CCL21 ; Protein B: BANF2,Protein A: PROT_1286 ; Protein B: PROT_0247,0
Protein A: THPO ; Protein B: JAK2,Protein A: PROT_0196 ; Protein B: PROT_1614,1
Protein A: LTV1 ; Protein B: CXCL2,Protein A: PROT_3129 ; Protein B: PROT_2787,0
Protein A: CALM3 ; Protein B: NOS2,Protein A: PROT_2689 ; Protein B: PROT_2403,1
Protein A: NELFA ; Protein B: SUPT4H1,Protein A: PROT_1416 ; Protein B: PROT_2395,1
Protein A: PIGB ; Protein B: AGT,Protein A: PROT_1450 ; Protein B: PROT_2126,0
Protein A: CWC22 ; Protein B: PHF5A,Protein A: PROT_1385 ; Protein B: PROT_3319,1
Protein A: EMG1 ; Protein B: TMEM126B,Protein A: PROT_2241 ; Protein B: PROT_0055,0
Protein A: LYAR ; Protein B: ACTR10,Protein A: PROT_2584 ; Protein B: PROT_0575,0
Protein A: TAF12 ; Protein B: TBP,Protein A: PROT_3075 ; Protein B: PROT_2097,1
Protein A: MCM4 ; Protein B: UBB,Protein A: PROT_0672 ; Protein B: PROT_0079,0
Protein A: POLR1D ; Protein B: H4-16,Protein A: PROT_1017 ; Protein B: PROT_0833,0
Protein A: CIITA ; Protein B: NFYC,Protein A: PROT_1178 ; Protein B: PROT_1167,1
Protein A: RPL9 ; Protein B: MRPS18A,Protein A: PROT_3158 ; Protein B: PROT_1192,0
Protein A: TRIM21 ; Protein B: EGFR,Protein A: PROT_0235 ; Protein B: PROT_1771,1
Protein A: RPP38 ; Protein B: HSD17B10,Protein A: PROT_1915 ; Protein B: PROT_2263,1
Protein A: RPS20 ; Protein B: MRE11,Protein A: PROT_3101 ; Protein B: PROT_1071,0
Protein A: RPL7L1 ; Protein B: FBXO5,Protein A: PROT_0817 ; Protein B: PROT_0493,0
Protein A: ESPL1 ; Protein B: KCTD13,Protein A: PROT_2578 ; Protein B: PROT_2190,0
Protein A: FAAH ; Protein B: IGLL5,Protein A: PROT_0985 ; Protein B: PROT_2748,0
Protein A: TLR6 ; Protein B: FSTL1,Protein A: PROT_1278 ; Protein B: PROT_2291,1
Protein A: RPS3A ; Protein B: SEC61B,Protein A: PROT_1403 ; Protein B: PROT_1573,1
Protein A: RPL23 ; Protein B: PTPN11,Protein A: PROT_3282 ; Protein B: PROT_2137,0
Protein A: LDHD ; Protein B: HAGH,Protein A: PROT_1375 ; Protein B: PROT_3059,1
Protein A: UGT1A7 ; Protein B: PALB2,Protein A: PROT_3402 ; Protein B: PROT_0673,0
Protein A: VEGFC ; Protein B: TEK,Protein A: PROT_3216 ; Protein B: PROT_0444,1
Protein A: RIPK1 ; Protein B: TNF,Protein A: PROT_1098 ; Protein B: PROT_1960,1
Protein A: SRSF2 ; Protein B: FUS,Protein A: PROT_0727 ; Protein B: PROT_3069,1
Protein A: SUPT5H ; Protein B: HLA-E,Protein A: PROT_0107 ; Protein B: PROT_1847,0
Protein A: RPS20 ; Protein B: EIPR1,Protein A: PROT_3101 ; Protein B: PROT_0745,0
Protein A: RBX1 ; Protein B: CXCR2,Protein A: PROT_0095 ; Protein B: PROT_2083,0
Protein A: PSMD12 ; Protein B: SORT1,Protein A: PROT_2903 ; Protein B: PROT_1196,0
Protein A: ELL3 ; Protein B: ICE2,Protein A: PROT_2544 ; Protein B: PROT_1728,1
Protein A: TSHR ; Protein B: RPS14,Protein A: PROT_1953 ; Protein B: PROT_2696,0
Protein A: MYBL2 ; Protein B: COX6A2,Protein A: PROT_0274 ; Protein B: PROT_0796,0
Protein A: MRPS34 ; Protein B: MRPS18C,Protein A: PROT_0742 ; Protein B: PROT_2586,1
Protein A: ARHGEF9 ; Protein B: EFTUD2,Protein A: PROT_3136 ; Protein B: PROT_1550,0
Protein A: MAPK8 ; Protein B: KLC3,Protein A: PROT_2849 ; Protein B: PROT_0461,1
Protein A: MLLT1 ; Protein B: EAF2,Protein A: PROT_0822 ; Protein B: PROT_0816,1
Protein A: ZFP57 ; Protein B: UTP14A,Protein A: PROT_1336 ; Protein B: PROT_1549,0
Protein A: IL27 ; Protein B: H3C14,Protein A: PROT_1206 ; Protein B: PROT_1030,0
Protein A: TBX5 ; Protein B: MEF2C,Protein A: PROT_3274 ; Protein B: PROT_0611,1
Protein A: POLR2E ; Protein B: NEK2,Protein A: PROT_0118 ; Protein B: PROT_1814,0
Protein A: NEFL ; Protein B: SOD1,Protein A: PROT_0393 ; Protein B: PROT_1294,1
Protein A: DLGAP5 ; Protein B: COX4I1,Protein A: PROT_3338 ; Protein B: PROT_2723,0
Protein A: LILRB4 ; Protein B: DLGAP5,Protein A: PROT_2996 ; Protein B: PROT_3338,0
Protein A: SOX6 ; Protein B: GATA1,Protein A: PROT_0496 ; Protein B: PROT_3447,1
Protein A: UTP18 ; Protein B: DHX16,Protein A: PROT_0498 ; Protein B: PROT_0056,0
Protein A: ADRM1 ; Protein B: RPSA,Protein A: PROT_0962 ; Protein B: PROT_1913,0
Protein A: H4C15 ; Protein B: FGF18,Protein A: PROT_2740 ; Protein B: PROT_0501,0
Protein A: ATXN1 ; Protein B: KANSL3,Protein A: PROT_3446 ; Protein B: PROT_1981,0
Protein A: ADRB1 ; Protein B: GNAI3,Protein A: PROT_0372 ; Protein B: PROT_0143,1
Protein A: LMAN1 ; Protein B: SEC23A,Protein A: PROT_2009 ; Protein B: PROT_1110,1
Protein A: ARCN1 ; Protein B: COPA,Protein A: PROT_2771 ; Protein B: PROT_1180,1
Protein A: UPP1 ; Protein B: DPYD,Protein A: PROT_2463 ; Protein B: PROT_2360,1
Protein A: MRPL24 ; Protein B: MRPL1,Protein A: PROT_3232 ; Protein B: PROT_0260,1
Protein A: CASP1 ; Protein B: MAP2K2,Protein A: PROT_3191 ; Protein B: PROT_2489,0
Protein A: FGA ; Protein B: APOA1,Protein A: PROT_2231 ; Protein B: PROT_2644,1
Protein A: PIP4K2C ; Protein B: PIP5KL1,Protein A: PROT_0327 ; Protein B: PROT_2303,1
Protein A: EHHADH ; Protein B: HSD17B4,Protein A: PROT_1716 ; Protein B: PROT_2632,1
Protein A: MRPS25 ; Protein B: EXOSC7,Protein A: PROT_1453 ; Protein B: PROT_1526,0
Protein A: NSMCE3 ; Protein B: CHRNA3,Protein A: PROT_1776 ; Protein B: PROT_2677,0
Protein A: POLD1 ; Protein B: DONSON,Protein A: PROT_1678 ; Protein B: PROT_3110,1
Protein A: CD44 ; Protein B: NANOGP8,Protein A: PROT_1569 ; Protein B: PROT_1881,1
Protein A: SQLE ; Protein B: MVD,Protein A: PROT_3065 ; Protein B: PROT_2917,1
Protein A: MRPL55 ; Protein B: CBX2,Protein A: PROT_3395 ; Protein B: PROT_3106,0
Protein A: ACTR8 ; Protein B: BRD8,Protein A: PROT_3335 ; Protein B: PROT_3189,1
Protein A: ZEB1 ; Protein B: CX3CR1,Protein A: PROT_1308 ; Protein B: PROT_2270,0
Protein A: MYH1 ; Protein B: UBE2D1,Protein A: PROT_0991 ; Protein B: PROT_1640,0
Protein A: GJA3 ; Protein B: RPS3A,Protein A: PROT_0486 ; Protein B: PROT_1403,0
Protein A: ADCYAP1 ; Protein B: NPR1,Protein A: PROT_0450 ; Protein B: PROT_1311,1
Protein A: RBX1 ; Protein B: SKP2,Protein A: PROT_0095 ; Protein B: PROT_0357,1
Protein A: KAT5 ; Protein B: AOC2,Protein A: PROT_2950 ; Protein B: PROT_1279,0
Protein A: ESAM ; Protein B: OCLN,Protein A: PROT_0894 ; Protein B: PROT_1331,1
Protein A: RPSA ; Protein B: SKP2,Protein A: PROT_1913 ; Protein B: PROT_0357,0
Protein A: RPL14 ; Protein B: RPLP1,Protein A: PROT_1815 ; Protein B: PROT_3162,1
Protein A: LDHA ; Protein B: PDHB,Protein A: PROT_1936 ; Protein B: PROT_1332,1
Protein A: HSPA4 ; Protein B: APBB1IP,Protein A: PROT_2937 ; Protein B: PROT_3008,0
Protein A: MED1 ; Protein B: ATP6V0A1,Protein A: PROT_2146 ; Protein B: PROT_1056,0
Protein A: H4C2 ; Protein B: PPP3CC,Protein A: PROT_1679 ; Protein B: PROT_2729,0
Protein A: MSL3 ; Protein B: CLP1,Protein A: PROT_0881 ; Protein B: PROT_1752,0
Protein A: CALML4 ; Protein B: CAMK4,Protein A: PROT_0753 ; Protein B: PROT_0686,1
Protein A: CCNA2 ; Protein B: MKI67,Protein A: PROT_2928 ; Protein B: PROT_2795,1
Protein A: HSPE1 ; Protein B: HSPA4,Protein A: PROT_2754 ; Protein B: PROT_2937,1
Protein A: TAF2 ; Protein B: RPL18,Protein A: PROT_2765 ; Protein B: PROT_0253,0
Protein A: IFNB1 ; Protein B: STAT1,Protein A: PROT_1454 ; Protein B: PROT_1821,1
Protein A: ALDH9A1 ; Protein B: ASMT,Protein A: PROT_0005 ; Protein B: PROT_3133,1
Protein A: MRPL58 ; Protein B: UBA52,Protein A: PROT_1315 ; Protein B: PROT_2560,0
Protein A: SOX9 ; Protein B: PPP1R26,Protein A: PROT_2597 ; Protein B: PROT_1788,0
Protein A: TADA2B ; Protein B: YEATS2,Protein A: PROT_1505 ; Protein B: PROT_3100,1
Protein A: PTK2 ; Protein B: PRKCA,Protein A: PROT_3024 ; Protein B: PROT_1667,1
Protein A: TNFAIP1 ; Protein B: KLHL12,Protein A: PROT_1605 ; Protein B: PROT_0359,1
Protein A: RPS14 ; Protein B: RPL28,Protein A: PROT_2696 ; Protein B: PROT_0890,1
Protein A: UTP18 ; Protein B: TBL3,Protein A: PROT_0498 ; Protein B: PROT_1265,1
Protein A: MGLL ; Protein B: RIPK2,Protein A: PROT_2200 ; Protein B: PROT_1657,0
Protein A: GNG7 ; Protein B: PLCB3,Protein A: PROT_2630 ; Protein B: PROT_2035,0
Protein A: TUFM ; Protein B: MRPL2,Protein A: PROT_0933 ; Protein B: PROT_2069,1
Protein A: CXCL13 ; Protein B: CXCL1,Protein A: PROT_1483 ; Protein B: PROT_2936,1
Protein A: HSD17B7 ; Protein B: RPS6,Protein A: PROT_0371 ; Protein B: PROT_0734,0
Protein A: NIPBL ; Protein B: SMC1A,Protein A: PROT_1215 ; Protein B: PROT_2909,1
Protein A: CD8A ; Protein B: MRPL19,Protein A: PROT_3053 ; Protein B: PROT_3070,0
Protein A: SUPT16H ; Protein B: PAF1,Protein A: PROT_0919 ; Protein B: PROT_2735,1
Protein A: MT-ND2 ; Protein B: MT-ATP6,Protein A: PROT_1986 ; Protein B: PROT_1037,1
Protein A: RPS13 ; Protein B: RPL36AL,Protein A: PROT_0758 ; Protein B: PROT_0546,1
Protein A: RPL15 ; Protein B: GSPT1,Protein A: PROT_0007 ; Protein B: PROT_0736,1
Protein A: PCNA ; Protein B: PCLAF,Protein A: PROT_1595 ; Protein B: PROT_3214,1
Protein A: FBXW11 ; Protein B: UBAP1,Protein A: PROT_2491 ; Protein B: PROT_0022,0
Protein A: UGT1A8 ; Protein B: AKR1C4,Protein A: PROT_3209 ; Protein B: PROT_1653,1
Protein A: RPS14 ; Protein B: PARD6G,Protein A: PROT_2696 ; Protein B: PROT_0747,0
Protein A: GNG10 ; Protein B: GNAI3,Protein A: PROT_3305 ; Protein B: PROT_0143,1
Protein A: HLA-DMA ; Protein B: AKR1C1,Protein A: PROT_3318 ; Protein B: PROT_2442,0
Protein A: COG8 ; Protein B: COMMD1,Protein A: PROT_0193 ; Protein B: PROT_0084,0
Protein A: NFKB1 ; Protein B: POLE,Protein A: PROT_0959 ; Protein B: PROT_2782,0
Protein A: SAE1 ; Protein B: PCNA,Protein A: PROT_2338 ; Protein B: PROT_1595,0
Protein A: MRPL33 ; Protein B: RSAD1,Protein A: PROT_2043 ; Protein B: PROT_1326,1
Protein A: HDAC1 ; Protein B: ACTR1A,Protein A: PROT_1584 ; Protein B: PROT_1440,0
Protein A: AGR3 ; Protein B: ATP5MC3,Protein A: PROT_0354 ; Protein B: PROT_3292,0
Protein A: RPS29 ; Protein B: HBA2,Protein A: PROT_0602 ; Protein B: PROT_0314,1
Protein A: GNAI1 ; Protein B: RASD1,Protein A: PROT_2079 ; Protein B: PROT_1392,1
Protein A: ATP6V1A ; Protein B: ATP6V0C,Protein A: PROT_0078 ; Protein B: PROT_1924,1
Protein A: FANCG ; Protein B: ATRIP,Protein A: PROT_1458 ; Protein B: PROT_1329,1
Protein A: MAP2K6 ; Protein B: TRAF2,Protein A: PROT_0176 ; Protein B: PROT_2652,1
Protein A: SLC6A3 ; Protein B: MAPK3,Protein A: PROT_2692 ; Protein B: PROT_1760,0
Protein A: VPS29 ; Protein B: COMMD9,Protein A: PROT_0660 ; Protein B: PROT_3157,1
Protein A: RPS18 ; Protein B: CYP26B1,Protein A: PROT_0518 ; Protein B: PROT_0624,0
Protein A: BOP1 ; Protein B: RPSA,Protein A: PROT_0922 ; Protein B: PROT_1913,0
Protein A: PIK3R4 ; Protein B: PTCH1,Protein A: PROT_3315 ; Protein B: PROT_3111,0
Protein A: EMD ; Protein B: TBL3,Protein A: PROT_0106 ; Protein B: PROT_1265,0
Protein A: SLC12A8 ; Protein B: CSTA,Protein A: PROT_0088 ; Protein B: PROT_1188,1
Protein A: AP1G1 ; Protein B: LOC102724159,Protein A: PROT_0500 ; Protein B: PROT_1452,0
Protein A: PPARG ; Protein B: H2BC3,Protein A: PROT_0612 ; Protein B: PROT_0021,0
Protein A: PPP1R26 ; Protein B: EIF3J,Protein A: PROT_1788 ; Protein B: PROT_0134,0
Protein A: DIMT1 ; Protein B: MPHOSPH10,Protein A: PROT_1317 ; Protein B: PROT_0364,1
Protein A: DYNC2LI1 ; Protein B: MRPL15,Protein A: PROT_0556 ; Protein B: PROT_1889,0
Protein A: RPL13A ; Protein B: RPL35,Protein A: PROT_1828 ; Protein B: PROT_2357,1
Protein A: CDK7 ; Protein B: MNAT1,Protein A: PROT_1497 ; Protein B: PROT_2252,1
Protein A: GATAD2B ; Protein B: HDAC2,Protein A: PROT_2026 ; Protein B: PROT_0844,1
Protein A: PPP6C ; Protein B: H2BC4,Protein A: PROT_0350 ; Protein B: PROT_1559,0
Protein A: ITFG2 ; Protein B: NPLOC4,Protein A: PROT_1421 ; Protein B: PROT_1069,0
Protein A: KAT8 ; Protein B: DSG1,Protein A: PROT_0696 ; Protein B: PROT_2031,0
Protein A: AUTS2 ; Protein B: ABCE1,Protein A: PROT_1208 ; Protein B: PROT_3114,0
Protein A: CDC42 ; Protein B: NACA2,Protein A: PROT_1231 ; Protein B: PROT_1868,0
Protein A: POP1 ; Protein B: PRORP,Protein A: PROT_0399 ; Protein B: PROT_0824,1
Protein A: RPS12 ; Protein B: GFPT2,Protein A: PROT_2877 ; Protein B: PROT_1638,0
Protein A: MRPL54 ; Protein B: MRPS35,Protein A: PROT_1630 ; Protein B: PROT_2296,1
Protein A: ANK2 ; Protein B: NT5C1A,Protein A: PROT_0716 ; Protein B: PROT_0296,0
Protein A: RPL38 ; Protein B: RPLP0,Protein A: PROT_3324 ; Protein B: PROT_1472,1
Protein A: RPS19 ; Protein B: TIMM23,Protein A: PROT_2084 ; Protein B: PROT_2181,0
Protein A: EIF3I ; Protein B: NDUFB8,Protein A: PROT_0288 ; Protein B: PROT_0346,0
Protein A: RRS1 ; Protein B: GANC,Protein A: PROT_0572 ; Protein B: PROT_3425,0
Protein A: RNF2 ; Protein B: WDR5,Protein A: PROT_1836 ; Protein B: PROT_1303,1
Protein A: RALA ; Protein B: EXOC1,Protein A: PROT_2444 ; Protein B: PROT_3015,1
Protein A: RPSA ; Protein B: BCL2L11,Protein A: PROT_1913 ; Protein B: PROT_2072,0
Protein A: CTSB ; Protein B: CST3,Protein A: PROT_3030 ; Protein B: PROT_2385,1
Protein A: HMGA2 ; Protein B: SMAD2,Protein A: PROT_2439 ; Protein B: PROT_2600,1
Protein A: MIA2 ; Protein B: RPL15,Protein A: PROT_2822 ; Protein B: PROT_0007,0
Protein A: CXorf66 ; Protein B: RPL28,Protein A: PROT_2257 ; Protein B: PROT_0890,1
Protein A: SMARCD2 ; Protein B: CDC45,Protein A: PROT_1348 ; Protein B: PROT_0757,0
Protein A: ACER2 ; Protein B: PLPP3,Protein A: PROT_0879 ; Protein B: PROT_1784,1
Protein A: CALML4 ; Protein B: NSA2,Protein A: PROT_0753 ; Protein B: PROT_0595,0
Protein A: NSA2 ; Protein B: RPL9,Protein A: PROT_0595 ; Protein B: PROT_3158,1
Protein A: MGLL ; Protein B: PRAMEF20,Protein A: PROT_2200 ; Protein B: PROT_0755,0
Protein A: TCIRG1 ; Protein B: PRPF8,Protein A: PROT_3131 ; Protein B: PROT_2756,0
Protein A: RPS8 ; Protein B: RPL13A,Protein A: PROT_2321 ; Protein B: PROT_1828,1
Protein A: SMARCA5 ; Protein B: H4C5,Protein A: PROT_1589 ; Protein B: PROT_0694,1
Protein A: RPS3A ; Protein B: ABCE1,Protein A: PROT_1403 ; Protein B: PROT_3114,1
Protein A: CD99 ; Protein B: KRAS,Protein A: PROT_3182 ; Protein B: PROT_2781,0
Protein A: CPLX4 ; Protein B: CPLX3,Protein A: PROT_0275 ; Protein B: PROT_2482,1
Protein A: CD55 ; Protein B: CD59,Protein A: PROT_3188 ; Protein B: PROT_1932,1
Protein A: MRPL55 ; Protein B: MRPL50,Protein A: PROT_3395 ; Protein B: PROT_2157,1
Protein A: RUVBL1 ; Protein B: TP53BP2,Protein A: PROT_3219 ; Protein B: PROT_0200,0
Protein A: AP4E1 ; Protein B: RPL17-C18orf32,Protein A: PROT_3390 ; Protein B: PROT_1414,0
Protein A: RPA3 ; Protein B: RBMX2,Protein A: PROT_1561 ; Protein B: PROT_0554,0
Protein A: DNTTIP1 ; Protein B: HDAC1,Protein A: PROT_2076 ; Protein B: PROT_1584,1
Protein A: SLC30A8 ; Protein B: HHEX,Protein A: PROT_2794 ; Protein B: PROT_0014,1
Protein A: GSTA5 ; Protein B: LPCAT2,Protein A: PROT_1283 ; Protein B: PROT_1682,0
Protein A: IKBKB ; Protein B: BRAF,Protein A: PROT_0707 ; Protein B: PROT_2718,0
Protein A: NDUFS4 ; Protein B: MGLL,Protein A: PROT_1833 ; Protein B: PROT_2200,1
Protein A: PLCG1 ; Protein B: KCNN3,Protein A: PROT_2459 ; Protein B: PROT_2793,0
Protein A: ATP5IF1 ; Protein B: ATP5F1A,Protein A: PROT_0126 ; Protein B: PROT_1871,1
Protein A: APP ; Protein B: KAT5,Protein A: PROT_1473 ; Protein B: PROT_2950,1
Protein A: GBP3 ; Protein B: RPS15,Protein A: PROT_2629 ; Protein B: PROT_3457,0
Protein A: EP300 ; Protein B: AGXT2,Protein A: PROT_0917 ; Protein B: PROT_1976,0
Protein A: RPL13A ; Protein B: RPL22L1,Protein A: PROT_1828 ; Protein B: PROT_1825,1
Protein A: RNGTT ; Protein B: MRPL37,Protein A: PROT_1298 ; Protein B: PROT_0164,0
Protein A: BANF1 ; Protein B: CTSL,Protein A: PROT_1435 ; Protein B: PROT_1878,0
Protein A: ADCY3 ; Protein B: PRKACB,Protein A: PROT_1710 ; Protein B: PROT_1290,1
Protein A: KRTAP4-3 ; Protein B: CDKN2AIP,Protein A: PROT_2913 ; Protein B: PROT_3016,0
Protein A: CIAO2B ; Protein B: RTEL1,Protein A: PROT_3320 ; Protein B: PROT_2776,1
Protein A: BFSP2 ; Protein B: PNP,Protein A: PROT_1759 ; Protein B: PROT_0768,0
Protein A: RPL34 ; Protein B: LARS1,Protein A: PROT_2542 ; Protein B: PROT_0234,0
Protein A: MLYCD ; Protein B: FN1,Protein A: PROT_3389 ; Protein B: PROT_1750,0
Protein A: PSMA8 ; Protein B: BRCA1,Protein A: PROT_0878 ; Protein B: PROT_1793,0
Protein A: H3C8 ; Protein B: RPL36A,Protein A: PROT_1903 ; Protein B: PROT_0951,0
Protein A: RNF38 ; Protein B: UBC,Protein A: PROT_2024 ; Protein B: PROT_0086,1
Protein A: CYP2C19 ; Protein B: CYP2C8,Protein A: PROT_3093 ; Protein B: PROT_0961,1
Protein A: H3C7 ; Protein B: SNRPC,Protein A: PROT_2188 ; Protein B: PROT_0315,0
Protein A: ALOX15B ; Protein B: ENPP3,Protein A: PROT_2278 ; Protein B: PROT_1053,0
Protein A: ELOVL4 ; Protein B: RPS27A,Protein A: PROT_0163 ; Protein B: PROT_1145,0
Protein A: SRP68 ; Protein B: ATP6V1E2,Protein A: PROT_2164 ; Protein B: PROT_2914,0
Protein A: UPB1 ; Protein B: SETD2,Protein A: PROT_2326 ; Protein B: PROT_1563,0
Protein A: ZC3H8 ; Protein B: ING3,Protein A: PROT_0838 ; Protein B: PROT_1003,0
Protein A: RPL27A ; Protein B: NEDD8,Protein A: PROT_2536 ; Protein B: PROT_1220,0
Protein A: NOTCH1 ; Protein B: RPS2,Protein A: PROT_3323 ; Protein B: PROT_2603,0
Protein A: PMPCB ; Protein B: VCAM1,Protein A: PROT_2848 ; Protein B: PROT_1705,0
Protein A: MRPL20 ; Protein B: GPER1,Protein A: PROT_0893 ; Protein B: PROT_0222,0
Protein A: EEFSEC ; Protein B: FAU,Protein A: PROT_2468 ; Protein B: PROT_1797,1
Protein A: RTN1 ; Protein B: REEP5,Protein A: PROT_0818 ; Protein B: PROT_0981,1
Protein A: POLR2A ; Protein B: ELOA,Protein A: PROT_1628 ; Protein B: PROT_0567,1
Protein A: RPL13A ; Protein B: AMFR,Protein A: PROT_1828 ; Protein B: PROT_0187,0
Protein A: MIOX ; Protein B: PYGO2,Protein A: PROT_2594 ; Protein B: PROT_0564,0
Protein A: HNRNPF ; Protein B: SERPINB13,Protein A: PROT_3220 ; Protein B: PROT_1241,0
Protein A: EPC1 ; Protein B: MICOS13,Protein A: PROT_0915 ; Protein B: PROT_1745,0
Protein A: GCLC ; Protein B: NQO1,Protein A: PROT_2167 ; Protein B: PROT_3327,1
Protein A: RPS13 ; Protein B: GSPT1,Protein A: PROT_0758 ; Protein B: PROT_0736,1
Protein A: WDR36 ; Protein B: DEGS1,Protein A: PROT_1413 ; Protein B: PROT_2005,0
Protein A: PCNT ; Protein B: CDK5RAP2,Protein A: PROT_0650 ; Protein B: PROT_0741,1
Protein A: RPL10A ; Protein B: RPL21,Protein A: PROT_1143 ; Protein B: PROT_3278,1
Protein A: BUB1 ; Protein B: CARD11,Protein A: PROT_1002 ; Protein B: PROT_1347,0
Protein A: ABL1 ; Protein B: CRKL,Protein A: PROT_0184 ; Protein B: PROT_2767,1
Protein A: NIFK ; Protein B: RPS5,Protein A: PROT_2532 ; Protein B: PROT_3105,0
Protein A: RPL30 ; Protein B: PF4V1,Protein A: PROT_3223 ; Protein B: PROT_2282,0
Protein A: THBD ; Protein B: VWF,Protein A: PROT_1690 ; Protein B: PROT_0649,1
Protein A: MZB1 ; Protein B: H4C1,Protein A: PROT_2091 ; Protein B: PROT_0677,0
Protein A: ARL3 ; Protein B: UNC119B,Protein A: PROT_1951 ; Protein B: PROT_0665,1
Protein A: H4C15 ; Protein B: SUPT16H,Protein A: PROT_2740 ; Protein B: PROT_0919,1
Protein A: KIR3DL2 ; Protein B: RPS27,Protein A: PROT_0956 ; Protein B: PROT_1704,0
Protein A: TAF4 ; Protein B: HTR6,Protein A: PROT_2149 ; Protein B: PROT_2543,0
Protein A: TRPC3 ; Protein B: KAT5,Protein A: PROT_1094 ; Protein B: PROT_2950,1
Protein A: KIR3DL2 ; Protein B: KIR3DL3,Protein A: PROT_0956 ; Protein B: PROT_2389,1
Protein A: H2BC10 ; Protein B: SEC61B,Protein A: PROT_2529 ; Protein B: PROT_1573,0
Protein A: LTV1 ; Protein B: CCT6B,Protein A: PROT_3129 ; Protein B: PROT_3179,0
Protein A: SKA3 ; Protein B: BUB1B,Protein A: PROT_1270 ; Protein B: PROT_1470,1
Protein A: IFNB1 ; Protein B: BAG1,Protein A: PROT_1454 ; Protein B: PROT_1907,0
Protein A: CYP7A1 ; Protein B: TP53,Protein A: PROT_0258 ; Protein B: PROT_1150,0
Protein A: POLG ; Protein B: POLE4,Protein A: PROT_3310 ; Protein B: PROT_0613,1
Protein A: ALDH1A1 ; Protein B: MED9,Protein A: PROT_2158 ; Protein B: PROT_2764,0
Protein A: TYK2 ; Protein B: ROBO1,Protein A: PROT_0885 ; Protein B: PROT_2799,0
Protein A: RPL26 ; Protein B: CD63,Protein A: PROT_3409 ; Protein B: PROT_1600,0
Protein A: ACTL6A ; Protein B: MSL1,Protein A: PROT_3272 ; Protein B: PROT_0136,1
Protein A: SNX1 ; Protein B: SNX6,Protein A: PROT_0820 ; Protein B: PROT_1602,1
