formula,anon,label
"Nb: 6, Fe: 39, B: 5","el_9559: 6, el_7694: 39, el_8033: 5",1
"Nb: 6, Fe: 41, B: 3","el_9559: 6, el_7694: 41, el_8033: 3",1
"Nb: 7, Fe: 81, B: 12","el_9559: 7, el_7694: 81, el_8033: 12",1
"Nb: 7, Fe: 84, B: 9","el_9559: 7, el_7694: 84, el_8033: 9",1
"Nb: 7.1, Fe: 77.9, B: 15","el_9559: 7.1, el_7694: 77.9, el_8033: 15",1
"Nb: 7.1, Fe: 82.3, B: 10.6","el_9559: 7.1, el_7694: 82.3, el_8033: 10.6",0
"Nb: 7.1, Fe: 83.4, B: 9.5","el_9559: 7.1, el_7694: 83.4, el_8033: 9.5",0
"Nb: 7.3, Fe: 77.5, B: 15.2","el_9559: 7.3, el_7694: 77.5, el_8033: 15.2",1
"Nb: 7.3, Fe: 79.5, B: 13.2","el_9559: 7.3, el_7694: 79.5, el_8033: 13.2",1
"Nb: 7.5, Fe: 83, B: 9.5","el_9559: 7.5, el_7694: 83, el_8033: 9.5",0
"Nb: 7.6, Fe: 81.1, B: 11.3","el_9559: 7.6, el_7694: 81.1, el_8033: 11.3",1
"Nb: 7.7, Fe: 78.1, B: 14.2","el_9559: 7.7, el_7694: 78.1, el_8033: 14.2",1
"Nb: 7.8, Fe: 78.4, B: 13.8","el_9559: 7.8, el_7694: 78.4, el_8033: 13.8",1
"Nb: 76.5, Si: 8.5, Ge: 15","el_9559: 76.5, el_1995: 8.5, el_6419: 15",1
"Nb: 77, Si: 10, Ge: 13","el_9559: 77, el_1995: 10, el_6419: 13",1
"Nb: 77, Si: 23","el_9559: 77, el_1995: 23",1
"Nb: 7, Co: 40, B: 3","el_9559: 7, el_9394: 40, el_8033: 3",1
"Nb: 7, Co: 42, B: 1","el_9559: 7, el_9394: 42, el_8033: 1",1
"Nb: 7, Fe: 77, B: 16","el_9559: 7, el_7694: 77, el_8033: 16",1
"Nb: 7, Fe: 78.7, B: 14.3","el_9559: 7, el_7694: 78.7, el_8033: 14.3",1
"Nb: 7, Fe: 79.9, B: 13.1","el_9559: 7, el_7694: 79.9, el_8033: 13.1",1
"Nb: 7, Fe: 83, B: 10","el_9559: 7, el_7694: 83, el_8033: 10",1
"Nb: 7, Fe: 85, B: 8","el_9559: 7, el_7694: 85, el_8033: 8",1
"Nb: 7, Si: 2, Mo: 1","el_9559: 7, el_1995: 2, el_3373: 1",1
"Nb: 7, Si: 2, W: 1","el_9559: 7, el_1995: 2, el_7486: 1",1
"Nb: 7, V: 1, Si: 2","el_9559: 7, el_4182: 1, el_1995: 2",1
"Nb: 8.3, Fe: 77.5, B: 14.2","el_9559: 8.3, el_7694: 77.5, el_8033: 14.2",1
"Nb: 8.3, Fe: 78.5, B: 13.2","el_9559: 8.3, el_7694: 78.5, el_8033: 13.2",1
"Nb: 8.7, Fe: 76, B: 15.3","el_9559: 8.7, el_7694: 76, el_8033: 15.3",1
"Nb: 8.9, Fe: 79.6, B: 11.5","el_9559: 8.9, el_7694: 79.6, el_8033: 11.5",1
"Nb: 80, Si: 17, Ge: 3","el_9559: 80, el_1995: 17, el_6419: 3",1
"Nb: 80, Si: 19, C: 1","el_9559: 80, el_1995: 19, el_2375: 1",1
"Nb: 80, Si: 19, Ge: 1","el_9559: 80, el_1995: 19, el_6419: 1",1
"Nb: 8, Fe: 75, B: 17","el_9559: 8, el_7694: 75, el_8033: 17",1
"Nb: 8, Fe: 79, B: 13","el_9559: 8, el_7694: 79, el_8033: 13",1
"Nb: 8, Ni: 75, B: 17","el_9559: 8, el_7611: 75, el_8033: 17",1
"Nb: 9.1, Fe: 79.9, B: 11","el_9559: 9.1, el_7694: 79.9, el_8033: 11",1
"Nb: 9.3, Fe: 77.5, B: 13.2","el_9559: 9.3, el_7694: 77.5, el_8033: 13.2",1
"Nb: 9.6, Fe: 77.5, B: 12.9","el_9559: 9.6, el_7694: 77.5, el_8033: 12.9",1
"Nb: 9.6, Fe: 77, B: 13.4","el_9559: 9.6, el_7694: 77, el_8033: 13.4",1
"Nb: 9.8, Fe: 75.2, B: 15","el_9559: 9.8, el_7694: 75.2, el_8033: 15",1
"Nb: 9, Si: 4, Mo: 7","el_9559: 9, el_1995: 4, el_3373: 7",0
"Nb: 1, Fe: 17, B: 2","el_9559: 1, el_7694: 17, el_8033: 2",1
"Nb: 1, Ni: 1","el_9559: 1, el_7611: 1",1
"Nd: 1, Al: 90, Ni: 9","el_2768: 1, el_3486: 90, el_7611: 9",0
"Nd: 1, Al: 22, Ni: 2","el_2768: 1, el_3486: 22, el_7611: 2",1
"Nd: 1, Al: 84, Ni: 15","el_2768: 1, el_3486: 84, el_7611: 15",1
"Nd: 1, Al: 20, Ni: 4","el_2768: 1, el_3486: 20, el_7611: 4",1
"Nd: 1, Al: 42, Ni: 7","el_2768: 1, el_3486: 42, el_7611: 7",1
"Nd: 1, Al: 21, Ni: 3","el_2768: 1, el_3486: 21, el_7611: 3",1
"Nd: 1, Al: 88, Ni: 11","el_2768: 1, el_3486: 88, el_7611: 11",1
"Nd: 1, Al: 2, Cu: 22","el_2768: 1, el_3486: 2, el_1377: 22",0
"Nd: 1, Al: 3, Cu: 21","el_2768: 1, el_3486: 3, el_1377: 21",0
"Nd: 1, Mg: 6, Cu: 3","el_2768: 1, el_7398: 6, el_1377: 3",1
"Nd: 1, Mg: 6, Ni: 3","el_2768: 1, el_7398: 6, el_7611: 3",1
"Nd: 1, Mg: 2, Cu: 2","el_2768: 1, el_7398: 2, el_1377: 2",1
"Nd: 1, Mg: 3, Cu: 6","el_2768: 1, el_7398: 3, el_1377: 6",0
"Nd: 1, Mg: 2, Ni: 2","el_2768: 1, el_7398: 2, el_7611: 2",1
"Nd: 10, Al: 79, Ni: 11","el_2768: 10, el_3486: 79, el_7611: 11",1
"Nd: 10, Fe: 82.5, B: 7.5","el_2768: 10, el_7694: 82.5, el_8033: 7.5",1
"Nd: 11.8, Fe: 82.1, B: 6.1","el_2768: 11.8, el_7694: 82.1, el_8033: 6.1",1
"Nd: 11, Al: 5, Ni: 4","el_2768: 11, el_3486: 5, el_7611: 4",1
"Nd: 11, Fe: 89","el_2768: 11, el_7694: 89",1
"Nd: 12.38, Fe: 70.12, B: 17.5","el_2768: 12.38, el_7694: 70.12, el_8033: 17.5",1
"Nd: 12, Fe: 69.5, B: 18.5","el_2768: 12, el_7694: 69.5, el_8033: 18.5",1
"Nd: 13, Fe: 79, B: 8","el_2768: 13, el_7694: 79, el_8033: 8",1
"Nd: 14, Fe: 78.2, B: 7.8","el_2768: 14, el_7694: 78.2, el_8033: 7.8",1
"Nd: 14, Fe: 81, B: 5","el_2768: 14, el_7694: 81, el_8033: 5",0
"Nd: 14, Fe: 82.2, B: 4.8","el_2768: 14, el_7694: 82.2, el_8033: 4.8",1
"Nd: 15, Fe: 77.5, B: 7.5","el_2768: 15, el_7694: 77.5, el_8033: 7.5",1
"Nd: 15, Fe: 77, B: 8","el_2768: 15, el_7694: 77, el_8033: 8",1
"Nd: 15, Fe: 82, B: 3","el_2768: 15, el_7694: 82, el_8033: 3",1
"Nd: 16.5, Fe: 66, B: 17.5","el_2768: 16.5, el_7694: 66, el_8033: 17.5",1
"Nd: 16.8, Fe: 67.2, B: 16","el_2768: 16.8, el_7694: 67.2, el_8033: 16",1
"Nd: 2, Al: 45, Ni: 3","el_2768: 2, el_3486: 45, el_7611: 3",1
"Nd: 2, Al: 15, Ni: 3","el_2768: 2, el_3486: 15, el_7611: 3",1
"Nd: 2, Mg: 15, Cu: 3","el_2768: 2, el_7398: 15, el_1377: 3",1
"Nd: 2, Mg: 15, Ni: 3","el_2768: 2, el_7398: 15, el_7611: 3",1
"Nd: 2.5, Mg: 97.5","el_2768: 2.5, el_7398: 97.5",0
"Nd: 20.62, Fe: 61.88, B: 17.5","el_2768: 20.62, el_7694: 61.88, el_8033: 17.5",1
"Nd: 20, Fe: 61.5, B: 18.5","el_2768: 20, el_7694: 61.5, el_8033: 18.5",1
"Nd: 21, Fe: 21, B: 8","el_2768: 21, el_7694: 21, el_8033: 8",1
"Nd: 21, Fe: 79","el_2768: 21, el_7694: 79",1
"Nd: 27.7, Fe: 56.3, B: 16","el_2768: 27.7, el_7694: 56.3, el_8033: 16",1
"Nd: 2, Al: 17, Ni: 1","el_2768: 2, el_3486: 17, el_7611: 1",1
"Nd: 2, Al: 20, Ni: 3","el_2768: 2, el_3486: 20, el_7611: 3",1
"Nd: 2, Al: 21, Ni: 2","el_2768: 2, el_3486: 21, el_7611: 2",1
"Nd: 2, Al: 22, Ni: 1","el_2768: 2, el_3486: 22, el_7611: 1",1
"Nd: 2, Al: 23","el_2768: 2, el_3486: 23",1
"Nd: 2, Al: 2, Cu: 21","el_2768: 2, el_3486: 2, el_1377: 21",1
"Nd: 2, Al: 3, Cu: 20","el_2768: 2, el_3486: 3, el_1377: 20",1
"Nd: 2, Al: 41, Ni: 7","el_2768: 2, el_3486: 41, el_7611: 7",1
"Nd: 2, Al: 43, Ni: 5","el_2768: 2, el_3486: 43, el_7611: 5",1
"Nd: 2, Al: 47, Ni: 1","el_2768: 2, el_3486: 47, el_7611: 1",0
"Nd: 2, Al: 5, Cu: 43","el_2768: 2, el_3486: 5, el_1377: 43",0
"Nd: 2, Al: 7, Cu: 41","el_2768: 2, el_3486: 7, el_1377: 41",0
"Nd: 2, Al: 7, Ni: 1","el_2768: 2, el_3486: 7, el_7611: 1",0
"Nd: 2, Al: 85, Ni: 13","el_2768: 2, el_3486: 85, el_7611: 13",1
"Nd: 2, Al: 1, Cu: 22","el_2768: 2, el_3486: 1, el_1377: 22",0
"Nd: 2, Cu: 3","el_2768: 2, el_1377: 3",0
"Nd: 2, Fe: 3","el_2768: 2, el_7694: 3",1
"Nd: 2, Fe: 7, B: 1","el_2768: 2, el_7694: 7, el_8033: 1",1
"Nd: 2, Mg: 11, Cu: 7","el_2768: 2, el_7398: 11, el_1377: 7",1
"Nd: 2, Mg: 11, Ni: 7","el_2768: 2, el_7398: 11, el_7611: 7",1
"Nd: 2, Mg: 13, Cu: 5","el_2768: 2, el_7398: 13, el_1377: 5",1
"Nd: 2, Mg: 13, Ni: 5","el_2768: 2, el_7398: 13, el_7611: 5",1
"Nd: 2, Mg: 17, Cu: 1","el_2768: 2, el_7398: 17, el_1377: 1",1
"Nd: 2, Mg: 17, Ni: 1","el_2768: 2, el_7398: 17, el_7611: 1",1
"Nd: 2, Mg: 2, Cu: 1","el_2768: 2, el_7398: 2, el_1377: 1",0
"Nd: 2, Mg: 3, Cu: 5","el_2768: 2, el_7398: 3, el_1377: 5",1
"Nd: 2, Mg: 3, Ni: 5","el_2768: 2, el_7398: 3, el_7611: 5",0
"Nd: 2, Mg: 5, Cu: 3","el_2768: 2, el_7398: 5, el_1377: 3",1
"Nd: 2, Mg: 5, Ni: 3","el_2768: 2, el_7398: 5, el_7611: 3",1
"Nd: 2, Mg: 7, Cu: 1","el_2768: 2, el_7398: 7, el_1377: 1",1
"Nd: 2, Mg: 7, Ni: 1","el_2768: 2, el_7398: 7, el_7611: 1",1
"Nd: 2, Mg: 1, Cu: 2","el_2768: 2, el_7398: 1, el_1377: 2",0
"Nd: 2, Mg: 1, Cu: 7","el_2768: 2, el_7398: 1, el_1377: 7",0
"Nd: 2, Mg: 1, Ni: 2","el_2768: 2, el_7398: 1, el_7611: 2",1
"Nd: 2, Ni: 3","el_2768: 2, el_7611: 3",0
"Nd: 3, Al: 20, Ni: 2","el_2768: 3, el_3486: 20, el_7611: 2",1
"Nd: 30, Fe: 51.5, B: 18.5","el_2768: 30, el_7694: 51.5, el_8033: 18.5",1
"Nd: 33.6, Fe: 50.4, B: 16","el_2768: 33.6, el_7694: 50.4, el_8033: 16",1
"Nd: 33, Fe: 67","el_2768: 33, el_7694: 67",1
"Nd: 3, Al: 13, Ni: 4","el_2768: 3, el_3486: 13, el_7611: 4",1
"Nd: 3, Al: 14, Ni: 3","el_2768: 3, el_3486: 14, el_7611: 3",1
"Nd: 3, Al: 15, Ni: 2","el_2768: 3, el_3486: 15, el_7611: 2",1
"Nd: 3, Al: 16, Ni: 1","el_2768: 3, el_3486: 16, el_7611: 1",0
"Nd: 3, Al: 21, Ni: 1","el_2768: 3, el_3486: 21, el_7611: 1",1
"Nd: 3, Al: 22","el_2768: 3, el_3486: 22",1
"Nd: 3, Al: 2, Cu: 45","el_2768: 3, el_3486: 2, el_1377: 45",0
"Nd: 3, Al: 3, Cu: 44","el_2768: 3, el_3486: 3, el_1377: 44",0
"Nd: 3, Al: 41, Ni: 6","el_2768: 3, el_3486: 41, el_7611: 6",1
"Nd: 3, Al: 42, Ni: 5","el_2768: 3, el_3486: 42, el_7611: 5",1
"Nd: 3, Al: 43, Ni: 4","el_2768: 3, el_3486: 43, el_7611: 4",1
"Nd: 3, Al: 44, Ni: 3","el_2768: 3, el_3486: 44, el_7611: 3",1
"Nd: 3, Al: 45, Ni: 2","el_2768: 3, el_3486: 45, el_7611: 2",1
"Nd: 3, Al: 46, Ni: 1","el_2768: 3, el_3486: 46, el_7611: 1",0
"Nd: 3, Al: 47","el_2768: 3, el_3486: 47",0
"Nd: 3, Al: 4, Cu: 43","el_2768: 3, el_3486: 4, el_1377: 43",0
"Nd: 3, Al: 5, Cu: 42","el_2768: 3, el_3486: 5, el_1377: 42",0
"Nd: 3, Al: 6, Cu: 41","el_2768: 3, el_3486: 6, el_1377: 41",0
"Nd: 3, Al: 7, Cu: 40","el_2768: 3, el_3486: 7, el_1377: 40",0
"Nd: 3, Al: 90, Ni: 7","el_2768: 3, el_3486: 90, el_7611: 7",1
"Nd: 3, Al: 1, Cu: 46","el_2768: 3, el_3486: 1, el_1377: 46",0
"Nd: 3, Cu: 7","el_2768: 3, el_1377: 7",0
"Nd: 3, Fe: 14, B: 3","el_2768: 3, el_7694: 14, el_8033: 3",1
"Nd: 3, Fe: 17","el_2768: 3, el_7694: 17",1
"Nd: 3, Fe: 2","el_2768: 3, el_7694: 2",1
"Nd: 3, Fe: 41, B: 6","el_2768: 3, el_7694: 41, el_8033: 6",1
"Nd: 3, Fe: 7","el_2768: 3, el_7694: 7",1
"Nd: 3, Fe: 78.5, B: 18.5","el_2768: 3, el_7694: 78.5, el_8033: 18.5",1
"Nd: 3, Fe: 82, B: 15","el_2768: 3, el_7694: 82, el_8033: 15",1
"Nd: 3, Mg: 10, Cu: 7","el_2768: 3, el_7398: 10, el_1377: 7",1
"Nd: 3, Mg: 10, Ni: 7","el_2768: 3, el_7398: 10, el_7611: 7",1
"Nd: 3, Mg: 11, Cu: 6","el_2768: 3, el_7398: 11, el_1377: 6",1
"Nd: 3, Mg: 11, Ni: 6","el_2768: 3, el_7398: 11, el_7611: 6",1
"Nd: 3, Mg: 12, Cu: 5","el_2768: 3, el_7398: 12, el_1377: 5",1
"Nd: 3, Mg: 12, Ni: 5","el_2768: 3, el_7398: 12, el_7611: 5",1
"Nd: 3, Mg: 13, Cu: 4","el_2768: 3, el_7398: 13, el_1377: 4",1
"Nd: 3, Mg: 13, Ni: 4","el_2768: 3, el_7398: 13, el_7611: 4",1
"Nd: 3, Mg: 14, Cu: 3","el_2768: 3, el_7398: 14, el_1377: 3",1
"Nd: 3, Mg: 14, Ni: 3","el_2768: 3, el_7398: 14, el_7611: 3",1
"Nd: 3, Mg: 15, Cu: 2","el_2768: 3, el_7398: 15, el_1377: 2",1
"Nd: 3, Mg: 15, Ni: 2","el_2768: 3, el_7398: 15, el_7611: 2",1
"Nd: 3, Mg: 16, Cu: 1","el_2768: 3, el_7398: 16, el_1377: 1",0
"Nd: 3, Mg: 16, Ni: 1","el_2768: 3, el_7398: 16, el_7611: 1",0
"Nd: 3, Mg: 17","el_2768: 3, el_7398: 17",0
"Nd: 3, Mg: 2, Cu: 5","el_2768: 3, el_7398: 2, el_1377: 5",1
"Nd: 3, Mg: 2, Ni: 5","el_2768: 3, el_7398: 2, el_7611: 5",1
"Nd: 3, Mg: 3, Cu: 4","el_2768: 3, el_7398: 3, el_1377: 4",1
"Nd: 3, Mg: 4, Cu: 3","el_2768: 3, el_7398: 4, el_1377: 3",1
"Nd: 3, Mg: 4, Ni: 3","el_2768: 3, el_7398: 4, el_7611: 3",1
"Nd: 3, Mg: 5, Cu: 2","el_2768: 3, el_7398: 5, el_1377: 2",1
"Nd: 3, Mg: 5, Ni: 2","el_2768: 3, el_7398: 5, el_7611: 2",1
"Nd: 3, Mg: 6, Ni: 1","el_2768: 3, el_7398: 6, el_7611: 1",1
"Nd: 3, Mg: 9, Ni: 8","el_2768: 3, el_7398: 9, el_7611: 8",1
"Nd: 3, Mg: 1, Cu: 6","el_2768: 3, el_7398: 1, el_1377: 6",1
"Nd: 3, Mg: 1, Ni: 1","el_2768: 3, el_7398: 1, el_7611: 1",1
"Nd: 3, Mg: 1, Ni: 6","el_2768: 3, el_7398: 1, el_7611: 6",0
"Nd: 3, Ni: 2","el_2768: 3, el_7611: 2",1
"Nd: 3, Ni: 7","el_2768: 3, el_7611: 7",0
"Nd: 4, Mg: 3, Ni: 3","el_2768: 4, el_7398: 3, el_7611: 3",1
"Nd: 4.12, Fe: 78.38, B: 17.5","el_2768: 4.12, el_7694: 78.38, el_8033: 17.5",1
"Nd: 4.5, Fe: 77, B: 18.5","el_2768: 4.5, el_7694: 77, el_8033: 18.5",1
"Nd: 4, Al: 13, Ni: 3","el_2768: 4, el_3486: 13, el_7611: 3",0
"Nd: 4, Al: 15, Ni: 1","el_2768: 4, el_3486: 15, el_7611: 1",0
"Nd: 4, Al: 3, Cu: 43","el_2768: 4, el_3486: 3, el_1377: 43",1
"Nd: 4, Al: 41, Ni: 5","el_2768: 4, el_3486: 41, el_7611: 5",1
"Nd: 4, Al: 43, Ni: 3","el_2768: 4, el_3486: 43, el_7611: 3",1
"Nd: 4, Al: 45, Ni: 1","el_2768: 4, el_3486: 45, el_7611: 1",1
"Nd: 4, Al: 5, Cu: 41","el_2768: 4, el_3486: 5, el_1377: 41",1
"Nd: 4, Al: 7, Cu: 39","el_2768: 4, el_3486: 7, el_1377: 39",0
"Nd: 4, Al: 1, Cu: 45","el_2768: 4, el_3486: 1, el_1377: 45",0
"Nd: 4, Fe: 19, B: 2","el_2768: 4, el_7694: 19, el_8033: 2",1
"Nd: 4, Fe: 77, B: 19","el_2768: 4, el_7694: 77, el_8033: 19",1
"Nd: 4, Mg: 11, Cu: 5","el_2768: 4, el_7398: 11, el_1377: 5",1
"Nd: 4, Mg: 11, Ni: 5","el_2768: 4, el_7398: 11, el_7611: 5",1
"Nd: 4, Mg: 13, Cu: 3","el_2768: 4, el_7398: 13, el_1377: 3",1
"Nd: 4, Mg: 13, Ni: 3","el_2768: 4, el_7398: 13, el_7611: 3",1
"Nd: 4, Mg: 15, Ni: 1","el_2768: 4, el_7398: 15, el_7611: 1",1
"Nd: 4, Mg: 5, Ni: 1","el_2768: 4, el_7398: 5, el_7611: 1",0
"Nd: 4, Mg: 9, Cu: 7","el_2768: 4, el_7398: 9, el_1377: 7",1
"Nd: 4, Mg: 9, Ni: 7","el_2768: 4, el_7398: 9, el_7611: 7",1
"Nd: 4, Mg: 1, Ni: 5","el_2768: 4, el_7398: 1, el_7611: 5",1
"Nd: 4, Ni: 1","el_2768: 4, el_7611: 1",0
"Nd: 5, Al: 42, Ni: 3","el_2768: 5, el_3486: 42, el_7611: 3",1
"Nd: 5, Al: 6, Cu: 39","el_2768: 5, el_3486: 6, el_1377: 39",0
"Nd: 5, Al: 3, Cu: 42","el_2768: 5, el_3486: 3, el_1377: 42",1
"Nd: 5, Mg: 9, Cu: 6","el_2768: 5, el_7398: 9, el_1377: 6",1
"Nd: 5, Mg: 9, Ni: 6","el_2768: 5, el_7398: 9, el_7611: 6",1
"Nd: 5, Mg: 12, Cu: 3","el_2768: 5, el_7398: 12, el_1377: 3",0
"Nd: 5, Mg: 12, Ni: 3","el_2768: 5, el_7398: 12, el_7611: 3",1
"Nd: 50.4, Fe: 33.6, B: 16","el_2768: 50.4, el_7694: 33.6, el_8033: 16",1
"Nd: 50, Fe: 31.5, B: 18.5","el_2768: 50, el_7694: 31.5, el_8033: 18.5",1
"Nd: 5, Al: 2, Cu: 43","el_2768: 5, el_3486: 2, el_1377: 43",0
"Nd: 5, Al: 37, Ni: 8","el_2768: 5, el_3486: 37, el_7611: 8",1
"Nd: 5, Al: 41, Ni: 4","el_2768: 5, el_3486: 41, el_7611: 4",1
"Nd: 5, Al: 43, Ni: 2","el_2768: 5, el_3486: 43, el_7611: 2",1
"Nd: 5, Al: 44, Ni: 1","el_2768: 5, el_3486: 44, el_7611: 1",1
"Nd: 5, Al: 4, Cu: 41","el_2768: 5, el_3486: 4, el_1377: 41",0
"Nd: 5, Al: 7, Cu: 38","el_2768: 5, el_3486: 7, el_1377: 38",0
"Nd: 5, Al: 87, Ni: 8","el_2768: 5, el_3486: 87, el_7611: 8",1
"Nd: 5, Al: 1, Cu: 44","el_2768: 5, el_3486: 1, el_1377: 44",0
"Nd: 5, Mg: 11, Cu: 4","el_2768: 5, el_7398: 11, el_1377: 4",1
"Nd: 5, Mg: 11, Ni: 4","el_2768: 5, el_7398: 11, el_7611: 4",1
"Nd: 5, Mg: 13, Cu: 2","el_2768: 5, el_7398: 13, el_1377: 2",0
"Nd: 5, Mg: 13, Ni: 2","el_2768: 5, el_7398: 13, el_7611: 2",1
"Nd: 5, Mg: 2, Ni: 3","el_2768: 5, el_7398: 2, el_7611: 3",1
"Nd: 5, Mg: 3, Ni: 2","el_2768: 5, el_7398: 3, el_7611: 2",1
"Nd: 5, Mg: 4, Ni: 1","el_2768: 5, el_7398: 4, el_7611: 1",0
"Nd: 5, Mg: 7, Ni: 8","el_2768: 5, el_7398: 7, el_7611: 8",1
"Nd: 5, Mg: 83, Ni: 12","el_2768: 5, el_7398: 83, el_7611: 12",1
"Nd: 5, Mg: 88, Ni: 7","el_2768: 5, el_7398: 88, el_7611: 7",1
"Nd: 5, Mg: 8, Ni: 7","el_2768: 5, el_7398: 8, el_7611: 7",1
"Nd: 5, Mg: 1, Ni: 4","el_2768: 5, el_7398: 1, el_7611: 4",1
"Nd: 6, Fe: 41, B: 3","el_2768: 6, el_7694: 41, el_8033: 3",1
"Nd: 6, Fe: 75.5, B: 18.5","el_2768: 6, el_7694: 75.5, el_8033: 18.5",1
"Nd: 6, Mg: 11, Ni: 3","el_2768: 6, el_7398: 11, el_7611: 3",1
"Nd: 6, Mg: 3, Ni: 1","el_2768: 6, el_7398: 3, el_7611: 1",0
"Nd: 6, Mg: 9, Cu: 5","el_2768: 6, el_7398: 9, el_1377: 5",1
"Nd: 6, Mg: 9, Ni: 5","el_2768: 6, el_7398: 9, el_7611: 5",1
"Nd: 6, Mg: 1, Ni: 3","el_2768: 6, el_7398: 1, el_7611: 3",1
"Nd: 7, Al: 87, Ni: 6","el_2768: 7, el_3486: 87, el_7611: 6",1
"Nd: 7.5, Mg: 90, Ni: 2.5","el_2768: 7.5, el_7398: 90, el_7611: 2.5",1
"Nd: 7.5, Mg: 92.5","el_2768: 7.5, el_7398: 92.5",0
"Nd: 7, Al: 43","el_2768: 7, el_3486: 43",1
"Nd: 7, Al: 83, Ni: 10","el_2768: 7, el_3486: 83, el_7611: 10",1
"Nd: 7, Al: 85, Ni: 8","el_2768: 7, el_3486: 85, el_7611: 8",1
"Nd: 7, Fe: 13","el_2768: 7, el_7694: 13",1
"Nd: 7, Mg: 10, Ni: 3","el_2768: 7, el_7398: 10, el_7611: 3",1
"Nd: 7, Mg: 11, Ni: 2","el_2768: 7, el_7398: 11, el_7611: 2",1
"Nd: 7, Mg: 2, Ni: 1","el_2768: 7, el_7398: 2, el_7611: 1",0
"Nd: 7, Mg: 6, Cu: 7","el_2768: 7, el_7398: 6, el_1377: 7",1
"Nd: 7, Mg: 8, Ni: 5","el_2768: 7, el_7398: 8, el_7611: 5",1
"Nd: 7, Mg: 9, Cu: 4","el_2768: 7, el_7398: 9, el_1377: 4",1
"Nd: 7, Mg: 9, Ni: 4","el_2768: 7, el_7398: 9, el_7611: 4",1
"Nd: 7, Mg: 1, Ni: 2","el_2768: 7, el_7398: 1, el_7611: 2",0
"Nd: 7, Ni: 3","el_2768: 7, el_7611: 3",1
"Nd: 8, Fe: 39, B: 3","el_2768: 8, el_7694: 39, el_8033: 3",0
"Nd: 8.25, Fe: 74.25, B: 17.5","el_2768: 8.25, el_7694: 74.25, el_8033: 17.5",1
"Nd: 9.2, Fe: 74.8, B: 16","el_2768: 9.2, el_7694: 74.8, el_8033: 16",1
"Nd: 9, Al: 81, Ni: 10","el_2768: 9, el_3486: 81, el_7611: 10",1
"Nd: 9, Al: 83, Ni: 8","el_2768: 9, el_3486: 83, el_7611: 8",1
"Nd: 9, Al: 85, Ni: 6","el_2768: 9, el_3486: 85, el_7611: 6",1
"Nd: 9, Fe: 41","el_2768: 9, el_7694: 41",1
"Nd: 9, Fe: 82, B: 9","el_2768: 9, el_7694: 82, el_8033: 9",1
"Nd: 1, Al: 15, Ni: 4","el_2768: 1, el_3486: 15, el_7611: 4",0
"Nd: 1, Al: 16, Ni: 3","el_2768: 1, el_3486: 16, el_7611: 3",1
"Nd: 1, Al: 17, Ni: 2","el_2768: 1, el_3486: 17, el_7611: 2",1
"Nd: 1, Al: 18, Ni: 1","el_2768: 1, el_3486: 18, el_7611: 1",1
"Nd: 1, Al: 23, Ni: 1","el_2768: 1, el_3486: 23, el_7611: 1",0
"Nd: 1, Al: 24","el_2768: 1, el_3486: 24",0
"Nd: 1, Al: 40, Ni: 9","el_2768: 1, el_3486: 40, el_7611: 9",1
"Nd: 1, Al: 41, Ni: 8","el_2768: 1, el_3486: 41, el_7611: 8",1
"Nd: 1, Al: 43, Ni: 6","el_2768: 1, el_3486: 43, el_7611: 6",1
"Nd: 1, Al: 44, Ni: 5","el_2768: 1, el_3486: 44, el_7611: 5",1
"Nd: 1, Al: 45, Ni: 4","el_2768: 1, el_3486: 45, el_7611: 4",1
"Nd: 1, Al: 46, Ni: 3","el_2768: 1, el_3486: 46, el_7611: 3",0
"Nd: 1, Al: 47, Ni: 2","el_2768: 1, el_3486: 47, el_7611: 2",0
"Nd: 1, Al: 48, Ni: 1","el_2768: 1, el_3486: 48, el_7611: 1",0
"Nd: 1, Al: 49","el_2768: 1, el_3486: 49",0
"Nd: 1, Al: 5, Cu: 44","el_2768: 1, el_3486: 5, el_1377: 44",0
"Nd: 1, Al: 7, Ni: 2","el_2768: 1, el_3486: 7, el_7611: 2",1
"Nd: 1, Al: 86, Ni: 13","el_2768: 1, el_3486: 86, el_7611: 13",1
"Nd: 1, Al: 8, Ni: 1","el_2768: 1, el_3486: 8, el_7611: 1",1
"Nd: 1, Al: 9","el_2768: 1, el_3486: 9",1
"Nd: 1, Al: 1, Cu: 23","el_2768: 1, el_3486: 1, el_1377: 23",0
"Nd: 1, Al: 1, Cu: 8","el_2768: 1, el_3486: 1, el_1377: 8",0
"Nd: 1, Cu: 4","el_2768: 1, el_1377: 4",0
"Nd: 1, Fe: 1","el_2768: 1, el_7694: 1",1
"Nd: 1, Fe: 3","el_2768: 1, el_7694: 3",1
"Nd: 1, Fe: 4","el_2768: 1, el_7694: 4",1
"Nd: 1, Fe: 9","el_2768: 1, el_7694: 9",1
"Nd: 1, Mg: 11, Cu: 8","el_2768: 1, el_7398: 11, el_1377: 8",1
"Nd: 1, Mg: 13, Cu: 6","el_2768: 1, el_7398: 13, el_1377: 6",1
"Nd: 1, Mg: 13, Ni: 6","el_2768: 1, el_7398: 13, el_7611: 6",1
"Nd: 1, Mg: 14, Cu: 5","el_2768: 1, el_7398: 14, el_1377: 5",1
"Nd: 1, Mg: 15, Cu: 4","el_2768: 1, el_7398: 15, el_1377: 4",1
